,Date,gain,total_gain
889,2023-08-31,9.100000000000136,2352.5999999999967
890,2023-09-01,0.0,2352.5999999999967
893,2023-09-04,0.0,2352.5999999999967
894,2023-09-05,9.700000000000045,2362.2999999999965
895,2023-09-06,21.199999999999818,2383.4999999999964
896,2023-09-07,-8.099999999999909,2375.3999999999965
897,2023-09-08,-5.400000000000091,2369.9999999999964
900,2023-09-11,24.200000000000045,2394.199999999996
901,2023-09-12,24.700000000000045,2418.899999999996
902,2023-09-13,-1.099999999999909,2417.799999999996
903,2023-09-14,-10.299999999999955,2407.4999999999964
904,2023-09-15,5.600000000000136,2413.0999999999967
907,2023-09-18,-14.0,2399.0999999999967
908,2023-09-19,2.199999999999818,2401.2999999999965
909,2023-09-20,-8.899999999999864,2392.399999999997
910,2023-09-21,3.1000000000001364,2395.4999999999973
911,2023-09-22,27.300000000000047,2422.7999999999975
914,2023-09-25,25.799999999999955,2448.5999999999976
915,2023-09-26,16.399999999999864,2464.9999999999973
916,2023-09-27,-10.0,2454.9999999999973
917,2023-09-28,-7.7999999999999545,2447.199999999997
918,2023-09-29,-1.900000000000091,2445.299999999997
921,2023-10-02,6.400000000000091,2451.699999999997
922,2023-10-03,-4.399999999999864,2447.2999999999975
923,2023-10-04,1.2999999999999545,2448.5999999999976
924,2023-10-05,11.900000000000091,2460.4999999999977
925,2023-10-06,19.0,2479.4999999999977
928,2023-10-09,6.800000000000182,2486.299999999998
929,2023-10-10,12.399999999999864,2498.699999999998
930,2023-10-11,-8.800000000000182,2489.899999999998
931,2023-10-12,4.499999999999773,2494.399999999998
932,2023-10-13,-0.40000000000009095,2493.9999999999977
935,2023-10-16,2.099999999999909,2496.0999999999976
936,2023-10-17,18.800000000000182,2514.899999999998
937,2023-10-18,9.299999999999955,2524.199999999998
938,2023-10-19,6.0,2530.199999999998
939,2023-10-20,18.799999999999955,2548.999999999998
942,2023-10-23,-2.0,2546.999999999998
943,2023-10-24,4.199999999999818,2551.199999999998
944,2023-10-25,-2.900000000000091,2548.299999999998
945,2023-10-26,-26.300000000000182,2521.9999999999977
946,2023-10-27,-5.2000000000000455,2516.7999999999975
949,2023-10-30,3.799999999999727,2520.599999999997
950,2023-10-31,9.599999999999682,2530.199999999997
951,2023-11-01,-1.6000000000001364,2528.5999999999967
952,2023-11-02,41.399999999999864,2569.9999999999964
953,2023-11-03,3.800000000000182,2573.7999999999965
956,2023-11-06,19.90000000000009,2593.6999999999966
957,2023-11-07,-5.7999999999999545,2587.899999999997
958,2023-11-08,-47.5,2540.399999999997
959,2023-11-09,-9.400000000000091,2530.999999999997
960,2023-11-10,-13.299999999999955,2517.699999999997
963,2023-11-13,0.5,2518.199999999997
964,2023-11-14,5.800000000000182,2523.9999999999973
965,2023-11-15,14.600000000000136,2538.5999999999976
